,mutation_id,group,count,percentage,Type,SubType,Length,RepeatSize
0,DEL_C_1_0,A3L1,403,0.005066314664655226,DEL,C,1,0
1,DEL_C_1_0,A3L2,412,0.005185977720435522,DEL,C,1,0
2,DEL_C_1_0,A4L1,453,0.0051222904440449135,DEL,C,1,0
3,DEL_C_1_0,A4L2,448,0.0050364807590696,DEL,C,1,0
4,DEL_C_1_1,A3L1,85,0.00106857753472877,DEL,C,1,1
5,DEL_C_1_1,A3L2,82,0.0010321606142614387,DEL,C,1,1
6,DEL_C_1_1,A4L1,96,0.0010855185046982597,DEL,C,1,1
7,DEL_C_1_1,A4L2,92,0.001034277298737507,DEL,C,1,1
8,DEL_C_1_2,A3L1,26,0.00032685901062291784,DEL,C,1,2
9,DEL_C_1_2,A3L2,30,0.0003776197369249166,DEL,C,1,2
10,DEL_C_1_2,A4L1,35,0.0003957619548379072,DEL,C,1,2
11,DEL_C_1_2,A4L2,29,0.00032602219199334465,DEL,C,1,2
12,DEL_C_1_3,A3L1,34,0.00042743101389150793,DEL,C,1,3
13,DEL_C_1_3,A3L2,28,0.00035244508779658885,DEL,C,1,3
14,DEL_C_1_3,A4L1,24,0.0002713796261745649,DEL,C,1,3
15,DEL_C_1_3,A4L2,28,0.00031478004744185,DEL,C,1,3
16,DEL_C_1_4,A3L1,20,0.00025143000817147524,DEL,C,1,4
17,DEL_C_1_4,A3L2,15,0.0001888098684624583,DEL,C,1,4
18,DEL_C_1_4,A4L1,15,0.0001696122663591031,DEL,C,1,4
19,DEL_C_1_4,A4L2,26,0.0002922957583388607,DEL,C,1,4
20,DEL_C_1_5+,A3L1,189,0.0023760135772204413,DEL,C,1,5+
21,DEL_C_1_5+,A3L2,190,0.0023915916671911385,DEL,C,1,5+
22,DEL_C_1_5+,A4L1,198,0.002238881915940161,DEL,C,1,5+
23,DEL_C_1_5+,A4L2,213,0.002394576789468359,DEL,C,1,5+
24,DEL_MH_2_1,A3L1,258,0.003243447105412031,DEL,MH,2,1
25,DEL_MH_2_1,A3L2,260,0.003272704386682611,DEL,MH,2,1
26,DEL_MH_2_1,A4L1,276,0.003120865701007497,DEL,MH,2,1
27,DEL_MH_2_1,A4L2,266,0.002990410450697575,DEL,MH,2,1
28,DEL_MH_3_1,A3L1,44,0.0005531460179772456,DEL,MH,3,1
29,DEL_MH_3_1,A3L2,40,0.0005034929825665555,DEL,MH,3,1
30,DEL_MH_3_1,A4L1,52,0.0005879891900448908,DEL,MH,3,1
31,DEL_MH_3_1,A4L2,44,0.0004946543602657643,DEL,MH,3,1
32,DEL_MH_3_2,A3L1,53,0.0006662895216544095,DEL,MH,3,2
33,DEL_MH_3_2,A3L2,73,0.0009188746931839638,DEL,MH,3,2
34,DEL_MH_3_2,A4L1,68,0.000768908940827934,DEL,MH,3,2
35,DEL_MH_3_2,A4L2,77,0.0008656451304650875,DEL,MH,3,2
36,DEL_MH_4_1,A3L1,60,0.0007542900245144258,DEL,MH,4,1
37,DEL_MH_4_1,A3L2,63,0.0007930014475423249,DEL,MH,4,1
38,DEL_MH_4_1,A4L1,93,0.0010515960514264392,DEL,MH,4,1
39,DEL_MH_4_1,A4L2,67,0.0007532236849501411,DEL,MH,4,1
40,DEL_MH_4_2,A3L1,19,0.0002388585077629015,DEL,MH,4,2
41,DEL_MH_4_2,A3L2,20,0.00025174649128327774,DEL,MH,4,2
42,DEL_MH_4_2,A4L1,22,0.0002487646573266845,DEL,MH,4,2
43,DEL_MH_4_2,A4L2,21,0.0002360850355813875,DEL,MH,4,2
44,DEL_MH_4_3,A3L1,57,0.0007165755232887045,DEL,MH,4,3
45,DEL_MH_4_3,A3L2,54,0.0006797155264648499,DEL,MH,4,3
46,DEL_MH_4_3,A4L1,49,0.00055406673677307,DEL,MH,4,3
47,DEL_MH_4_3,A4L2,51,0.0005733493721262268,DEL,MH,4,3
48,DEL_MH_5+_1,A3L1,180,0.0022628700735432775,DEL,MH,5+,1
49,DEL_MH_5+_1,A3L2,175,0.0022027817987286804,DEL,MH,5+,1
50,DEL_MH_5+_1,A4L1,177,0.0020014247430374167,DEL,MH,5+,1
51,DEL_MH_5+_1,A4L2,202,0.002270913199401918,DEL,MH,5+,1
52,DEL_MH_5+_2,A3L1,69,0.0008674335281915897,DEL,MH,5+,2
53,DEL_MH_5+_2,A3L2,58,0.0007300648247215055,DEL,MH,5+,2
54,DEL_MH_5+_2,A4L1,56,0.0006332191277406516,DEL,MH,5+,2
55,DEL_MH_5+_2,A4L2,55,0.0006183179503322054,DEL,MH,5+,2
56,DEL_MH_5+_3,A3L1,61,0.0007668615249229996,DEL,MH,5+,3
57,DEL_MH_5+_3,A3L2,75,0.0009440493423122915,DEL,MH,5+,3
58,DEL_MH_5+_3,A4L1,79,0.0008932912694912762,DEL,MH,5+,3
59,DEL_MH_5+_3,A4L2,86,0.0009668244314285393,DEL,MH,5+,3
60,DEL_MH_5+_4,A3L1,56,0.0007040040228801308,DEL,MH,5+,4
61,DEL_MH_5+_4,A3L2,45,0.0005664296053873749,DEL,MH,5+,4
62,DEL_MH_5+_4,A4L1,51,0.0005766817056209505,DEL,MH,5+,4
63,DEL_MH_5+_4,A4L2,49,0.0005508650830232375,DEL,MH,5+,4
64,DEL_MH_5+_5+,A3L1,301,0.003784021622980703,DEL,MH,5+,5+
65,DEL_MH_5+_5+,A3L2,254,0.0031971804392976273,DEL,MH,5+,5+
66,DEL_MH_5+_5+,A4L1,290,0.00327917048294266,DEL,MH,5+,5+
67,DEL_MH_5+_5+,A4L2,260,0.0029229575833886073,DEL,MH,5+,5+
68,DEL_T_1_0,A3L1,270,0.0033943051103149163,DEL,T,1,0
69,DEL_T_1_0,A3L2,268,0.0033734029831959216,DEL,T,1,0
70,DEL_T_1_0,A4L1,256,0.002894716012528693,DEL,T,1,0
71,DEL_T_1_0,A4L2,264,0.002967926161594586,DEL,T,1,0
72,DEL_T_1_1,A3L1,77,0.0009680055314601798,DEL,T,1,1
73,DEL_T_1_1,A3L2,67,0.0008433507457989804,DEL,T,1,1
74,DEL_T_1_1,A4L1,78,0.000881983785067336,DEL,T,1,1
